,인허가일자,영업상태구분코드,영업상태명,상세영업상태명,폐업일자,소재지전화,지역명,사업장명,,지역명,관광지출액,전년도 관광지출액,검색건수,전년도 검색건수,방문자수,전년도 방문자수
85,2019-04-29,3,폐업,폐업,2021-12-13,,충청남도 청양군 대치면 광대리 268-7,황금나무펜션,,,,,,,,
86,2010-08-31,3,폐업,폐업,2017-07-31,051-727-3111,부산광역시 기장군 장안읍 장안리 106-1번지,루나 펜션,,,,,,,,
87,2010-12-09,3,폐업,폐업,2013-11-15,,전라북도 고창군 고창읍 월암리 373-1번지,아모르 펜션,,,,,,,,
88,2017-12-20,3,폐업,폐업,2022-03-25,,전라북도 정읍시 신정동 1590 내장산리조트관광단지팬션,내장산 몽환의 숲 펜션,,,,,,,,
89,2009-06-16,3,폐업,폐업,2009-12-31,,전라북도 부안군 진서면 진서리 31-83번지,쉬어야 관광펜션,,,,,,,,
90,2012-11-27,3,폐업,폐업,2018-04-18,,전라북도 무주군 설천면 심곡리 567-1번지,독도는 우리 땅,,,,,,,,
91,2012-11-09,3,폐업,폐업,2014-11-25,,전라북도 부안군 변산면 도청리 535-1번지,솔섬펜션,,,,,,,,
92,2014-12-08,3,폐업,폐업,2019-07-02,063-324-1004,전라북도 무주군 설천면 심곡리 463-2번지,미르,,,,,,,,
93,2010-08-04,3,폐업,폐업,2014-12-15,,전라북도 무주군 설천면 삼공리 318-1번지,반딧불이펜션,,,,,,,,
94,2010-08-05,3,폐업,폐업,2014-12-10,,전라북도 무주군 설천면 삼공리 742-4번지,체리스펜션,,,,,,,,
95,2010-08-10,3,폐업,폐업,2018-08-24,,전라북도 무주군 무풍면 삼거리 46-39번지,미알레펜션,,,,,,,,
96,2011-04-22,3,폐업,폐업,2012-11-27,,전라북도 무주군 설천면 심곡리 567-1번지,샤롯데,,,,,,,,
97,2017-11-30,3,폐업,폐업,2018-07-23,,전라북도 무주군 설천면 삼공리 522-9번지,무주해바라기펜션,,,,,,,,
98,2016-03-14,3,폐업,폐업,2018-01-26,,경기도 파주시 파평면 율곡리 307-1번지,원프레임,,,,,,,,
99,2005-04-28,3,폐업,폐업,2020-07-24,031-775-3907,경기도 양평군 단월면 덕수리 370,우리벨리펜션,,,,,,,,
100,2012-12-12,3,폐업,폐업,2020-04-14,031-773-2210,경기도 양평군 단월면 부안리,생각속의 집,,,,,,,,
101,2005-06-17,3,폐업,폐업,2020-07-17,031-772-7991,경기도 양평군 양평읍 백안리 17-32,캐시미어힐 관광펜션,,,,,,,,
102,2011-02-21,3,폐업,폐업,2020-02-10,031-774-1776,경기도 양평군 강하면 왕창리 298-1,꿈이 익는 농장 펜션,,,,,,,,
103,2004-07-21,3,폐업,폐업,,,강원도 횡성군 둔내면 삽교리 1460번지,청태산관광펜션,,,,,,,,
104,2006-09-18,3,폐업,폐업,2014-02-18,033-344-6776,강원도 횡성군 서원면 석화리 232번지,다래와밤나무,,,,,,,,
105,2015-01-07,3,폐업,폐업,2018-04-30,,전라남도 나주시 석현동 203-2번지,바람이 쉬어가는곳,,,,,,,,
106,2014-10-23,3,폐업,폐업,2021-07-16,061-544-4518,전라남도 진도군 의신면 초사리 657,세광 진도소풍펜션,,,,,,,,
107,2012-12-24,3,폐업,폐업,2020-08-26,,전라남도 구례군 토지면 외곡리 505-7,지리산 끌림,,,,,,,,
108,2010-09-15,3,폐업,폐업,2014-12-01,061-324-2331,전라남도 함평군 신광면 동정리 296번지 26통,무지개 관광펜션,,,,,,,,
109,2012-12-05,3,폐업,폐업,2019-01-02,061-323-0693,전라남도 함평군 해보면 대각리 538-0번지,황토와들꽃세상,,,,,,,,
110,2017-11-07,3,폐업,폐업,2020-01-22,,전라남도 함평군 해보면 광암리 393-9번지,여름나무,,,,,,,,
111,2011-06-09,3,폐업,폐업,2016-09-07,383-0076,전라남도 담양군 금성면 덕성리 512-1번지,쌍둥이펜션,,,,,,,,
112,2011-11-01,3,폐업,폐업,2016-09-07,,전라남도 담양군 금성면 덕성리 512-1번지,쌍둥이관광펜션,,,,,,,,
113,2016-02-04,3,폐업,폐업,2017-12-05,,전라남도 해남군 북평면 동해리 521번지,땅끝남도의향기,,,,,,,,
114,2006-06-09,3,폐업,폐업,2015-04-01,681-4008,경상남도 거제시 일운면 망치리 32-2번지,펜션 휴,,,,,,,,
115,2019-10-08,3,폐업,폐업,2020-05-25,,충청남도 보령시 신흑동 2304-7번지,카카오스토리,,,,,,,,
116,2004-12-27,3,폐업,폐업,2015-04-07,055-646-2320,경상남도 통영시 용남면 원평리 1172번지,다향관광펜션,,,,,,,,
117,2010-07-09,3,폐업,폐업,2018-07-23,055-645-7690,경상남도 통영시 산양읍 영운리 506번지,림펜션,,,,,,,,
118,2010-07-14,3,폐업,폐업,2016-01-29,055-645-6336,경상남도 통영시 용남면 화삼리 945-23번지,통영장군펜션민박,,,,,,,,
119,2010-08-09,3,폐업,폐업,2014-05-30,646-2320,경상남도 통영시 용남면 동달리 97번지,통영다향샵관광펜션,,,,,,,,
120,2010-10-29,3,폐업,폐업,2019-09-26,,경상남도 통영시 산양읍 영운리 478번지,아트인 앤 김(블루)펜션,,,,,,,,
121,2010-10-29,3,폐업,폐업,2019-09-26,,경상남도 통영시 산양읍 영운리 478-2번지,아트 인 앤 김(화이트)펜션,,,,,,,,
122,2010-10-29,3,폐업,폐업,2019-09-26,,경상남도 통영시 산양읍 영운리 478-3번지,아트인 앤 김(그린)펜션,,,,,,,,
123,2011-06-14,3,폐업,폐업,2018-12-20,,경상남도 통영시 욕지면 서산리 307-15번지,옵타티오펜션민박,,,,,,,,
124,2011-08-11,3,폐업,폐업,2015-04-30,055-645-0580,경상남도 통영시 용남면 동달리 164-6번지,토브펜션민박,,,,,,,,
125,2012-06-19,3,폐업,폐업,2021-02-09,055-644-2700,경상남도 통영시 평림동 967-2,비치캐슬펜션쓰리,,,,,,,,
126,2012-06-19,3,폐업,폐업,2015-01-28,,경상남도 통영시 평림동 967번지,비치캐슬펜션투,,,,,,,,
127,2010-08-03,3,폐업,폐업,2017-10-27,,강원도 춘천시 남산면 창촌리 86-4번지,여우그늘관광펜션,,,,,,,,
128,2014-10-20,3,폐업,폐업,2017-11-16,,강원도 춘천시 남산면 서천리 319번지,쏠리오,,,,,,,,
129,2014-12-15,3,폐업,폐업,2022-04-04,,울산광역시 울주군 서생면 대송리 25-16,수호천사,,,,,,,,
130,2017-08-31,3,폐업,폐업,2021-08-31,,전라남도 보성군 보성읍 보성리 1141-2,수진한옥펜션,,,,,,,,
131,2018-02-05,3,폐업,폐업,2021-10-21,,전라남도 보성군 보성읍 봉산리 1145,해바라기 펜션매점,,,,,,,,
132,2018-05-17,3,폐업,폐업,2020-06-29,061-857-3450,전라남도 보성군 벌교읍 장양리 558-3,벌교펜션민박,,,,,,,,
133,2010-09-07,3,폐업,폐업,2011-03-16,061-262-1000,전라남도 무안군 몽탄면 봉명리 580번지,자연속으로,,,,,,,,
134,2005-04-14,3,폐업,폐업,2012-07-02,061-454-7878,전라남도 무안군 망운면 피서리 809-54번지,무안톱 관광펜션,,,,,,,,
135,2009-09-17,3,폐업,폐업,2020-09-02,061-353-2400,전라남도 영광군 염산면 두우리 969,두리관광팬션,,,,,,,,
136,2017-12-08,3,폐업,폐업,2018-11-05,031-355-4403,경기도 화성시 서신면 제부리 288-101,나무향기펜션1,,,,,,,,
137,2020-03-06,3,폐업,폐업,2021-04-15,,강원도 춘천시 남산면 서천리 532,온정 펜션,,,,,,,,
138,2020-03-05,3,폐업,폐업,2021-08-10,,강원도 원주시 소초면 학곡리 57-13,클라우드펜션민박,,,,,,,,
139,2010-07-08,3,폐업,폐업,2019-01-08,055-635-1164,경상남도 거제시 장목면 유호리 78-32번지,모네펜션,,,,,,,,
140,2013-02-26,3,폐업,폐업,2022-08-05,632-2333,경상남도 거제시 남부면 저구리 737-70,무지개관광펜션,,,,,,,,
141,2013-07-19,3,폐업,폐업,2014-11-21,,경상남도 거제시 장목면 관포리 586-2번지,더비치(솔모로)펜션,,,,,,,,
142,2017-04-10,3,폐업,폐업,2020-03-03,,경상남도 거제시 하청면 석포리 24-12번지,선셋파크 펜션,,,,,,,,
143,2013-07-19,3,폐업,폐업,2014-11-21,,경상남도 거제시 장목면 관포리 581-4번지,더비치(몽벨르)펜션,,,,,,,,
144,2013-07-19,3,폐업,폐업,2014-11-21,,경상남도 거제시 장목면 관포리 581-7번지,더비치펜션(아테네),,,,,,,,
145,2013-07-19,3,폐업,폐업,2014-11-21,,경상남도 거제시 장목면 관포리 586-7번지,더비치펜션(제이스),,,,,,,,
146,2013-07-19,3,폐업,폐업,2014-11-21,,경상남도 거제시 장목면 관포리 581-4번지,더비치펜션(아크로),,,,,,,,
147,2014-06-17,3,폐업,폐업,2015-03-26,,경상남도 거제시 동부면 학동리 229-2번지,유엔아이펜션,,,,,,,,
148,2015-06-15,3,폐업,폐업,2021-11-17,,경상남도 거제시 일운면 망치리 463-2,스타마린관광펜션,,,,,,,,
149,2017-02-20,3,폐업,폐업,2020-03-03,,경상남도 거제시 하청면 석포리 24-6번지,선셋파크 펜션,,,,,,,,
150,2017-02-20,3,폐업,폐업,2020-03-03,,경상남도 거제시 하청면 석포리 24-7번지,선셋파크 펜션,,,,,,,,
151,2004-06-21,3,폐업,폐업,2017-11-08,,강원도 정선군 정선읍 회동리 168번지,가리왕산장,,,,,,,,
152,2004-09-24,3,폐업,폐업,2013-01-28,033-562-5768,강원도 정선군 정선읍 덕송리 408번지,은하수와여울,,,,,,,,
153,2008-05-08,3,폐업,폐업,2019-04-10,,강원도 정선군 정선읍 회동리 171-1번지,아일랜드,,,,,,,,
154,2017-02-14,3,폐업,폐업,2021-07-12,,강원도 정선군 남면 무릉리 741-5,숲속의 캐슬(1),,,,,,,,
155,2017-02-17,3,폐업,폐업,2017-12-18,,강원도 정선군 남면 741-6번지,숲속의 캐슬(2),,,,,,,,
156,2018-05-08,3,폐업,폐업,2019-01-28,033-574-4488,강원도 삼척시 근덕면 장호리 185-4번지,어떤하루펜션,,,,,,,,
157,2004-08-03,3,폐업,폐업,2015-04-13,033-434-8813,강원도 홍천군 홍천읍 삼마치리 385번지,홍천파인밸리관광펜션,,,,,,,,
158,2004-04-30,3,폐업,폐업,2015-04-23,033-434-1609,강원도 홍천군 서면 대곡리 1040-1번지,마이웨이 비발디 관광펜션,,,,,,,,
159,2007-06-27,3,폐업,폐업,2017-08-31,,강원도 홍천군 북방면 노일리 901-3번지,OG 펜션,,,,,,,,
160,2010-03-25,3,폐업,폐업,2016-03-24,433-0353,강원도 홍천군 서석면 수하리 1301-8번지,황금소나무펜션,,,,,,,,
161,2012-06-27,3,폐업,폐업,2018-06-01,033-434-3249,강원도 홍천군 내촌면 광암리 472-4번지,펜션친구사이,,,,,,,,
162,2006-04-17,3,폐업,폐업,2018-06-12,033-672-6072,강원도 양양군 손양면 도화리 183-12번지,관광펜션포에버 1,,,,,,,,
163,2006-04-17,3,폐업,폐업,2015-01-08,033-672-6072,강원도 양양군 손양면 도화리 183-4번지,관광펜션포에버 2,,,,,,,,
164,2010-09-07,3,폐업,폐업,2016-01-08,033-671-1259,강원도 양양군 서면 내현리 30-15,로데스,,,,,,,,
165,2011-08-22,3,폐업,폐업,2015-04-27,,강원도 양양군 서면 내현리 30-16,라벤더코지,,,,,,,,
166,2020-05-15,3,폐업,폐업,2021-04-26,,경상남도 거제시 동부면 가배리 738-5,인피니티 프리덤,,,,,,,,
167,2010-10-27,3,폐업,폐업,2017-10-16,,경상남도 남해군 상주면 상주리 230번지,떼루아관광펜션,,,,,,,,
168,2017-07-13,3,폐업,폐업,2023-01-17,,경상남도 거제시 장목면 시방리 301-9,로제스(B)펜션,,,,,,,,
169,2018-04-30,3,폐업,폐업,2019-01-21,,경상남도 거제시 일운면 망치리 58-2번지,거제외도바다가좋아,,,,,,,,
170,2014-01-03,3,폐업,폐업,2014-07-22,,경상남도 통영시 욕지면 동항리 409-2번지,해오름 황토펜션,,,,,,,,
171,2014-09-01,3,폐업,폐업,2018-03-18,055-643-3332,경상남도 통영시 산양읍 신전리 175-1번지,Encasa펜션,,,,,,,,
172,2014-11-06,3,폐업,폐업,2018-12-12,,경상남도 통영시 용남면 장문리 915-1번지,배쟁이펜션,,,,,,,,
173,2014-12-04,3,폐업,폐업,2018-12-27,,경상남도 통영시 용남면 원평리 1151번지,바다랑 펜션,,,,,,,,
174,2015-05-26,3,폐업,폐업,2018-08-16,,경상남도 통영시 산양읍 미남리 92-6번지,힐링펜션,,,,,,,,
175,2016-05-04,3,폐업,폐업,2019-06-07,,경상남도 통영시 산양읍 영운리 529-1번지,영운리애 펜션민박,,,,,,,,
176,2018-03-20,3,폐업,폐업,2020-12-14,,경상남도 통영시 욕지면 동항리 1245-2 펜션,하늘섬펜션,,,,,,,,
177,2010-11-22,3,폐업,폐업,2016-04-20,,강원도 평창군 봉평면 흥정리 250-8번지,벤치하우스,,,,,,,,
178,2012-11-16,3,폐업,폐업,2014-11-07,033-333-7778,강원도 평창군 봉평면 면온리 697-8번지,칸델라 통나무 펜션,,,,,,,,
179,2014-06-03,3,폐업,폐업,2017-01-19,,강원도 평창군 진부면 수항리 208-2번지,스노우힐펜션,,,,,,,,
180,2004-04-28,3,폐업,폐업,2016-01-07,033-332-0016,강원도 평창군 방림면 계촌리 2223번지,관광펜션 삼봉출발,,,,,,,,
181,2005-05-23,3,폐업,폐업,2014-07-07,,강원도 평창군 봉평면 면온리 693-11번지,올리브관광펜션,,,,,,,,
182,2007-12-28,3,폐업,폐업,2016-04-19,033-334-8263,강원도 평창군 방림면 계촌리 2226-1번지,오랜지관광펜션,,,,,,,,
183,2008-05-13,3,폐업,폐업,2015-09-18,,강원도 평창군 진부면 탑동리 339-3번지,관광펜션 시실리,,,,,,,,
184,2013-10-14,3,폐업,폐업,2015-09-15,,강원도 홍천군 서면 팔봉리 993-2번지 1통1반,한옥펜션 솔향,,,,,,,,
185,2017-11-22,3,폐업,폐업,2018-06-01,033-435-8666,강원도 홍천군 서면 대곡리 25번지,오션워터월드2분거리 신영펜션,,,,,,,,
186,2013-10-30,3,폐업,폐업,2019-03-06,,강원도 홍천군 서면 팔봉리 978-2번지 0통,인마이라이프,,,,,,,,
187,2015-02-03,3,폐업,폐업,2022-11-15,,강원도 홍천군 남면 월천리 103-1,하립골 관광펜션,,,,,,,,
188,2015-04-27,3,폐업,폐업,2022-01-25,033-434-6009,강원도 홍천군 북방면 장항리 98-3,관광펜션 바비아나,,,,,,,,
189,2016-02-24,3,폐업,폐업,2021-06-30,033-436-3688,강원도 홍천군 북방면 장항리 201-30,헤리티스 관광펜션,,,,,,,,
190,2016-02-24,3,폐업,폐업,2021-06-30,033-436-3688,강원도 홍천군 북방면 장항리 201-31,헤리티스2 관광펜션,,,,,,,,
191,2011-10-10,3,폐업,폐업,2019-07-10,334818040,강원도 양구군 양구읍 상리 525-4번지,양구콩세알민박,,,,,,,,
192,2003-12-18,3,폐업,폐업,2014-08-15,,강원도 강릉시 저동 64-6번지,관광팬션 휴심,,,,,,,,
193,2004-08-02,3,폐업,폐업,2015-04-02,,강원도 강릉시 사천면 석교리 343-1번지,래미안관광펜션,,,,,,,,
194,2009-06-11,3,폐업,폐업,2014-07-08,033-644-9411,강원도 강릉시 강동면 정동진리 산 33-1번지,하슬라뮤지엄 관광펜션,,,,,,,,
195,2012-03-29,3,폐업,폐업,2014-11-10,033-661-3810,강원도 강릉시 연곡면 삼산리,들꽃편지,,,,,,,,
