일자,WAR,WPA,Y_SCORE,SCORE,전일비,,등락률,OPS,Woba,Wrct
2022-08-28,"70,900","71,000",5,10,▼,-800,-1.13,"11,169,002",0.325,98.9
2022-08-27,"70,600","70,900",2,5,▼,-500,-0.7,"14,410,038",0.319,95.2
2022-08-26,"71,200","71,800",1,2,▲,800,1.14,"17,646,315",0.325,98.9
2022-08-25,"70,200","70,500",3,1,▲,900,1.29,"10,175,750",0.319,95.2
2022-08-24,"69,800","70,100",0,3,▼,-700,-1,"10,258,562",0.325,98.9
2022-08-23,"70,000","70,200",7,0,▲,200,0.29,"9,040,993",0.319,95.2
2022-08-22,"70,500","70,700",4,7,▼,"-1,200",-1.69,"15,787,655",0.325,98.9
2022-08-21,"70,800","71,200",5,4,▲,"1,700",2.45,"21,159,248",0.319,95.2
2022-08-20,"68,800","70,000",6,5,▼,-600,-0.86,"15,828,269",0.325,98.9
2022-08-19,"70,000","70,600",0,6,▼,"-1,400",-1.96,"18,617,138",0.319,0.12
2022-08-18,"72,700","72,700",5,0,▼,"-1,400",-1.92,"13,409,634",0.325,0.13
2022-08-17,"72,300","73,100",1,5,▲,"1,200",1.67,"13,232,638",0.319,0.12
2022-08-16,"72,300","72,400",3,1,▼,-400,-0.55,"12,481,430",0.325,0.12
2022-08-15,"71,100","72,100",3,3,▲,200,0.28,"17,781,783",0.319,0.12
2022-08-14,"72,100","72,600",3,3,▲,400,0.56,"13,168,484",0.325,0.11
2022-08-13,"72,300","72,300",2,3,▼,"-1,500",-2.05,"15,759,283",0.319,0.11
2022-08-12,"73,800","73,800",4,2,▼,-400,-0.54,"10,397,964",0.325,0.11
2022-08-11,"73,000","73,400",1,4,▼,-800,-1.08,"11,692,469",0.319,0.11
2022-08-10,"73,200","74,300",6,1,▼,-100,-0.13,"10,489,717",0.325,0.11
2022-08-09,"74,600","74,800",0,6,▼,-700,-0.93,"10,122,226",0.319,0.11
2022-08-08,"75,000","75,600",1,0,▲,200,0.27,"13,605,382",0.325,0.11
2022-08-07,"74,600","74,900",5,1,▲,"1,100",1.49,"10,767,386",0.319,0.12
2022-08-06,"74,100","74,200",10,5, ,0,0,"9,320,365",0.325,0.11
2022-08-05,"74,400","74,500",5,10,▼,"-1,200",-1.6,"13,993,255",0.319,0.11
2022-08-04,"75,000","75,500",6,5,▼,-500,-0.66,"12,205,407",0.325,0.12
2022-08-03,"75,600","75,800",2,6,▲,700,0.94,"17,746,033",0.319,0.12
2022-08-02,"74,300","74,700",10,2,▲,"1,200",1.63,"9,699,122",0.325,0.13
2022-08-01,"73,800","74,200",1,10,▲,500,0.68,"11,736,666",0.319,0.12
2022-07-31,"73,500","73,600",4,1,▼,"-1,000",-1.35,"14,240,838",0.325,0.12
2022-07-30,"74,300","74,600",2,4,▲,700,0.95,"12,730,034",0.319,0.12
2022-07-29,"74,900","74,900",6,2, ,0,0,"17,744,721",0.325,0.13
2022-07-28,"71,300","73,700",3,6,▲,"2,000",2.81,"21,367,447",0.319,0.12
2022-07-27,"73,800","74,000",6,3,▼,"-2,000",-2.73,"22,274,777",0.325,0.12
2022-07-26,"73,900","74,400",4,6,▼,-700,-0.95,"12,976,730","955,547",0.13
2022-07-25,"74,800","75,000",6,4,▼,"-1,100",-1.46,"17,766,704","1,313,118",0.13
2022-07-24,"75,400","75,800",3,6,▼,-500,-0.66,"13,691,134","1,028,859",0.13
2022-07-23,"75,800","75,800",1,3,▼,-900,-1.18,"15,774,888","1,186,293",0.13
2022-07-22,"76,200","76,700",0,1,▲,200,0.26,"9,708,168","741,154",0.13
2022-07-21,"76,500","76,900",12,0,▼,-700,-0.91,"10,598,290","810,151",0.13
2022-07-20,"77,600","77,800",2,12,▼,-500,-0.65,"9,592,788","740,279",0.13
2022-07-19,"77,600","77,800",5,2,▲,200,0.26,"8,785,122","678,903",0.13
2022-07-18,"77,700","78,100",1,5,▼,-600,-0.77,"10,096,725","781,575",0.12
2022-07-17,"79,300","79,300",3,1,▼,"-1,000",-1.27,"13,889,401","1,088,598",0.12
2022-07-16,"79,500","79,600",10,3, ,0,0,"11,000,502","868,911",0.13
2022-07-15,"78,400","79,000",5,10,▲,900,1.15,"13,221,123","1,038,835",0.13
2022-07-14,"78,100","78,100",2,5,▼,-300,-0.38,"9,947,422","772,740",0.13
2022-07-13,"78,100","78,400",1,2,▲,"1,400",1.82,"15,163,757","1,184,237",0.14
2022-07-12,"76,700","77,600",3,1,▼,-500,-0.65,"12,931,954","996,378",0.13
2022-07-11,"78,800","79,000",0,3,▼,"-1,300",-1.65,"25,470,640","1,967,842",0.13
2022-07-10,"78,800","79,200",7,0,▲,100,0.13,"12,427,416","977,991",0.13
2022-07-09,"79,400","79,800",4,7,▲,300,0.38,"13,502,112","1,066,007",0.13
2022-07-08,"78,900","79,500",5,4,▼,-500,-0.63,"14,236,700","1,120,743",0.12
2022-07-07,"80,200","80,200",6,5,▼,"-1,500",-1.87,"19,794,795","1,569,040",0.12
2022-07-06,"80,200","80,400",0,6,▲,100,0.12,"18,226,325","1,458,199",0.12
2022-07-05,"80,600","80,600",5,0,▼,-300,-0.37,"10,783,368","864,327",0.12
2022-07-04,"80,200","80,800",1,5,▲,600,0.75,"12,086,380","973,662",0.13
2022-07-03,"79,800","80,000",3,1,▲,500,0.63,"13,577,498","1,083,056",0.13
2022-07-02,"78,900","79,400",3,3,▲,"1,300",1.66,"17,105,892","1,354,311",0.13
